airtime,selected_mcs,txgain,pm_power
1.0,5,74,13.72329467
1.0,9,74,13.81948533
1.0,14,74,14.416664
1.0,18,74,15.71803733
1.0,23,74,15.20187067
1.0,0,74,13.65887867
1.0,5,74,13.68872
1.0,9,74,13.97321467
1.0,14,74,14.33527867
1.0,18,74,14.64317733
1.0,23,74,15.28878533
1.0,0,74,13.618504
1.0,5,74,13.78703067
1.0,9,74,14.15087733
1.0,14,74,14.435736
1.0,18,74,14.67596933
1.0,23,74,15.32027467
1.0,0,74,13.813852
1.0,5,74,13.9945
1.0,9,74,14.173784
1.0,14,74,14.53441733
1.0,18,74,14.86021467
1.0,23,74,15.47488
1.0,0,74,13.81125333
1.0,5,74,14.13237467
1.0,9,74,14.24037733
1.0,14,74,14.70609333
1.0,18,74,15.004992
1.0,23,74,15.64098533
1.0,0,73,13.547208
1.0,5,73,13.59480667
1.0,9,73,13.87854267
1.0,14,73,14.25298267
1.0,18,73,14.58431333
1.0,23,73,15.01706133
1.0,0,73,13.57107733
1.0,5,73,13.73947867
1.0,9,73,13.784088
1.0,14,73,14.36846933
1.0,18,73,14.63158667
1.0,23,73,15.07186
1.0,0,73,13.57606267
1.0,5,73,13.68349467
1.0,9,73,13.989732
1.0,14,73,14.483316
1.0,18,73,14.587304
1.0,23,73,15.20830267
1.0,0,73,13.745092
1.0,5,73,13.72598267
1.0,9,73,14.10571333
1.0,14,73,14.55295067
1.0,18,73,14.5783
1.0,23,73,15.33026133
1.0,0,73,13.81539467
1.0,5,73,13.86861067
1.0,9,73,14.22253467
1.0,14,73,14.62917067
1.0,18,73,14.684916
1.0,23,73,15.506596
1.0,0,73,13.90760267
1.0,5,73,13.93731333
1.0,9,73,14.34191733
1.0,14,73,14.75463333
1.0,18,73,14.93032533
1.0,23,73,15.77835467
1.0,0,68,13.362072
1.0,5,68,13.75506667
1.0,9,68,13.824248
1.0,14,68,14.31746933
1.0,18,68,14.656464
1.0,23,68,15.00095333
1.0,0,68,13.565112
1.0,5,68,13.72517733
1.0,9,68,13.79054667
1.0,14,68,14.44521467
1.0,18,68,14.588976
1.0,23,68,15.10002267
1.0,0,68,13.62982
1.0,5,68,13.65353067
1.0,9,68,13.98382667
1.0,14,68,14.44453467
1.0,18,68,14.56854
1.0,23,68,15.25558667
1.0,0,68,13.77905467
1.0,5,68,13.79738533
1.0,9,68,14.07652667
1.0,14,68,14.59033333
1.0,18,68,14.60708133
1.0,23,68,15.30873733
1.0,0,68,13.914552
1.0,5,68,13.82364133
1.0,9,68,14.24270667
1.0,14,68,14.64259733
1.0,18,68,14.77021333
1.0,23,68,15.53413467
1.0,0,68,13.93979733
1.0,5,68,14.05557733
1.0,9,68,14.17980267
